Device,Sessions,Avg_Duration,Grad_Apply,ID,Begin Date,End Date
desktop,"16,296",00:02:18,33,1,2021-10-16,2021-10-31
desktop,"15,617",00:02:31,192,2,2021-11-01,2021-11-15
desktop,"12,129",00:02:25,188,3,2021-11-16,2021-11-30
desktop,"12,813",00:02:10,174,4,2021-12-01,2021-12-15
desktop,"9,369",00:02:13,144,5,2021-12-16,2021-12-31
desktop,"18,939",00:01:57,270,6,2022-01-01,2022-01-15
desktop,"19,234",00:02:05,192,7,2022-01-16,2022-01-31
desktop,"15,498",00:02:03,189,8,2022-02-01,2022-02-14
desktop,"15,553",00:02:03,222,9,2022-02-15,2022-02-28
desktop,"14,704",00:02:23,271,10,2022-03-01,2022-03-15
desktop,"17,786",00:02:02,189,11,2022-03-16,2022-03-31
desktop,"14,779",00:02:14,183,12,2022-04-01,2022-04-15
desktop,"15,532",00:02:07,251,13,2022-04-16,2022-04-30
desktop,"13,753",00:02:10,197,14,2022-05-01,2022-05-15
desktop,"14,817",00:02:08,203,15,2022-05-16,2022-05-31
desktop,"11,974",00:02:06,167,16,2022-06-01,2022-06-15
desktop,"11,408",00:02:11,156,17,2022-06-16,2022-06-30
desktop,"9,190",00:02:36,142,18,2022-07-01,2022-07-15
desktop,"9,760",00:02:41,145,19,2022-07-16,2022-07-31
desktop,"9,939",00:02:52,172,20,2022-08-01,2022-08-15
desktop,"12,347",00:02:48,213,21,2022-08-16,2022-08-31
desktop,"12,712",00:02:35,149,22,2022-09-01,2022-09-15
desktop,"14,548",00:02:25,202,23,2022-09-16,2022-09-30
desktop,"13,510",00:02:38,267,24,2022-10-01,2022-10-15
desktop,"15,277",00:02:28,223,25,2022-10-16,2022-10-31
desktop,"13,601",00:02:55,185,26,2022-11-01,2022-11-15
desktop,"10,038",00:02:46,182,27,2022-11-16,2022-11-30
desktop,"10,528",00:02:52,215,28,2022-12-01,2022-12-15
desktop,"7,703",00:02:45,177,29,2022-12-16,2022-12-31
desktop,"13,202",00:02:37,262,30,2023-01-01,2023-01-15
desktop,"15,699",00:02:49,402,31,2023-01-16,2023-01-31
desktop,"14,392",00:02:36,279,32,2023-02-01,2023-02-14
desktop,"14,315",00:02:34,302,33,2023-02-15,2023-02-28
desktop,"13,693",00:02:50,362,34,2023-03-01,2023-03-15
desktop,"13,730",00:02:34,284,35,2023-03-16,2023-03-31
desktop,"11,979",00:02:30,209,36,2023-04-01,2023-04-15
desktop,"12,345",00:02:38,235,37,2023-04-16,2023-04-30
desktop,"12,311",00:02:54,283,38,2023-05-01,2023-05-15
